Student_ID,Location_Name,Building_Name,Floor,X_Coordinate,Y_Coordinate,Foot_Traffic_Density,Timestamp,Event
30,Gymnasium,Main Gate,3,30.89,57.61,High,2025-05-16 11:44:00,Sports Event
31,Lecture Hall A,Student Center,1,43.68,50.47,Medium,2025-05-16 11:25:00,
32,Main Library,Academic Block B,2,9.19,39.83,Medium,2025-05-16 13:25:00,Class Break
33,Lecture Hall B,Academic Block A,2,12.95,37.88,High,2025-05-16 9:18:00,Seminar
34,Parking Area,Cultural Hall,1,11.88,8.59,Medium,2025-05-16 13:24:00,
35,Cafeteria,Cultural Hall,2,81.57,0.11,Medium,2025-05-16 9:47:00,Lunch Time
36,Medical Center,Cultural Hall,1,2.17,31.83,Low,2025-05-16 14:14:00,
37,Gymnasium,Academic Block B,0,34.92,42.85,Low,2025-05-16 8:38:00,Orientation
38,Student Lounge,Academic Block B,1,53.24,1.78,Low,2025-05-16 13:04:00,Lunch Time
39,Lecture Hall A,Engineering Block,2,32.21,70.13,Medium,2025-05-16 11:45:00,Lunch Time
40,Admin Office,Academic Block A,1,61.45,10.95,Medium,2025-05-16 11:52:00,Class Break
41,Student Lounge,Academic Block B,1,45.73,11.35,Low,2025-05-16 12:51:00,Seminar
42,Lecture Hall B,Academic Block A,0,74.24,36.64,High,2025-05-16 12:52:00,Seminar
43,Lecture Hall A,Engineering Block,3,36.02,1.04,Low,2025-05-16 12:49:00,
44,Cafeteria,Main Gate,1,7.94,90.04,High,2025-05-16 8:41:00,Lunch Time
45,Lecture Hall B,Academic Block A,1,55.45,13.16,Low,2025-05-16 12:00:00,Seminar
46,Medical Center,Academic Block B,0,54.72,6.16,High,2025-05-16 13:23:00,Lunch Time
47,Student Lounge,Academic Block B,1,44.96,70.7,High,2025-05-16 15:06:00,
48,Computer Lab,Main Gate,0,41.74,18.06,Low,2025-05-16 10:51:00,
49,Main Library,Main Gate,2,63.38,54.05,Medium,2025-05-16 10:26:00,Sports Event
50,Garden Area,Academic Block A,1,62.2,51.36,High,2025-05-16 9:14:00,Orientation
51,Auditorium,Main Gate,0,74.77,14.32,High,2025-05-16 9:32:00,
52,Medical Center,Student Center,0,35.3,70.58,Low,2025-05-16 8:18:00,
53,Student Lounge,Main Gate,0,44.46,98.1,Medium,2025-05-16 12:45:00,
54,Lecture Hall B,Academic Block A,2,47.45,55.88,Low,2025-05-16 12:01:00,Sports Event
55,Admin Office,Engineering Block,2,69.84,1.29,High,2025-05-16 9:25:00,Class Break
56,Main Library,Engineering Block,0,31.99,65.34,High,2025-05-16 10:05:00,Class Break
57,Gymnasium,Student Center,1,59.35,25.99,Low,2025-05-16 14:18:00,
58,Parking Area,Academic Block B,1,65.94,11.22,High,2025-05-16 9:43:00,Class Break
59,Garden Area,Engineering Block,3,21.24,92.32,Medium,2025-05-16 9:11:00,Sports Event
60,Admin Office,Academic Block A,2,59.88,15.75,Medium,2025-05-16 13:12:00,Orientation
61,Computer Lab,Engineering Block,1,84.2,91.73,Medium,2025-05-16 10:24:00,
62,Medical Center,Academic Block A,0,62.7,72.76,Low,2025-05-16 8:38:00,
63,Parking Area,Engineering Block,1,16.76,82.29,Medium,2025-05-16 16:48:00,Class Break
64,Student Lounge,Engineering Block,1,3.32,6.65,High,2025-05-16 10:31:00,
65,Parking Area,Academic Block B,3,7.08,91.56,Medium,2025-05-16 8:07:00,Sports Event
66,Lecture Hall B,Main Gate,2,81.47,86.75,High,2025-05-16 9:46:00,Sports Event
67,Computer Lab,Engineering Block,0,27.75,81.8,Medium,2025-05-16 14:03:00,Sports Event
68,Admin Office,Academic Block B,1,53.88,78.64,High,2025-05-16 16:49:00,
69,Computer Lab,Academic Block B,1,79.02,14.58,Low,2025-05-16 13:50:00,Sports Event
70,Computer Lab,Cultural Hall,1,6.72,11.19,High,2025-05-16 9:20:00,
71,Medical Center,Academic Block B,2,62.38,58.32,High,2025-05-16 15:36:00,
72,Parking Area,Cultural Hall,0,34.38,84.64,Medium,2025-05-16 13:12:00,Seminar
73,Computer Lab,Academic Block B,0,33.74,97.36,Medium,2025-05-16 11:20:00,
74,Auditorium,Cultural Hall,0,1.27,57.39,Low,2025-05-16 14:00:00,Seminar
75,Student Lounge,Academic Block B,2,71.31,99.7,Low,2025-05-16 8:55:00,Class Break
76,Garden Area,Engineering Block,1,96.27,39.41,High,2025-05-16 10:33:00,
77,Admin Office,Academic Block A,0,70.86,68.53,Low,2025-05-16 10:21:00,Orientation
78,Parking Area,Academic Block A,1,29.63,56.54,Low,2025-05-16 9:25:00,
79,Cafeteria,Engineering Block,0,57.03,47.6,High,2025-05-16 8:53:00,Lunch Time
80,Cafeteria,Academic Block B,2,37.03,93.79,Low,2025-05-16 16:32:00,
81,Cafeteria,Main Gate,2,52.05,47.06,Low,2025-05-16 12:19:00,Lunch Time
82,Computer Lab,Main Gate,1,77.72,35.58,Low,2025-05-16 16:46:00,Orientation
83,Gymnasium,Academic Block B,1,21.05,17.71,Medium,2025-05-16 8:17:00,
84,Lecture Hall B,Academic Block A,0,99.65,62.51,Medium,2025-05-16 8:45:00,Sports Event
85,Main Library,Academic Block A,3,95.25,34.21,High,2025-05-16 13:01:00,Class Break
86,Garden Area,Student Center,1,58.49,46.06,High,2025-05-16 12:27:00,Sports Event
87,Student Lounge,Student Center,2,89.45,27.8,High,2025-05-16 15:03:00,Orientation
88,Parking Area,Student Center,1,52.58,22.06,High,2025-05-16 15:56:00,Lunch Time
89,Garden Area,Engineering Block,2,1.84,2.6,Medium,2025-05-16 15:47:00,Seminar
90,Auditorium,Main Gate,2,37.06,11.57,Low,2025-05-16 14:04:00,Orientation
91,Garden Area,Cultural Hall,3,83.8,41.97,Medium,2025-05-16 16:40:00,Lunch Time
92,Student Lounge,Academic Block B,1,68.75,62.83,High,2025-05-16 13:49:00,Seminar
93,Computer Lab,Academic Block A,2,17.4,88.29,Medium,2025-05-16 8:25:00,Sports Event
94,Computer Lab,Academic Block A,3,17.4,86.61,Low,2025-05-16 13:28:00,Class Break
95,Main Library,Engineering Block,1,77.96,49.7,High,2025-05-16 12:06:00,
96,Cafeteria,Academic Block B,1,36.1,23.18,Low,2025-05-16 8:20:00,
97,Lecture Hall B,Academic Block B,0,27.08,32.59,Medium,2025-05-16 8:27:00,Seminar
98,Medical Center,Academic Block A,3,51.13,97.22,High,2025-05-16 17:42:00,Orientation
99,Medical Center,Cultural Hall,1,53.25,22.79,High,2025-05-16 16:02:00,Seminar
100,Lecture Hall B,Academic Block B,3,36.92,94.16,Medium,2025-05-16 13:33:00,
101,Main Library,Student Center,1,81.35,3.89,High,2025-05-16 8:18:00,Seminar
102,Computer Lab,Cultural Hall,0,80.01,79.98,Low,2025-05-16 9:22:00,
103,Parking Area,Engineering Block,1,13.93,42.77,High,2025-05-16 12:11:00,
104,Computer Lab,Engineering Block,2,27.39,59.03,High,2025-05-16 9:50:00,Lunch Time
105,Medical Center,Main Gate,3,69.55,56.94,High,2025-05-16 12:04:00,
106,Main Library,Academic Block B,2,31.26,9.04,High,2025-05-16 13:20:00,Lunch Time
107,Computer Lab,Cultural Hall,0,5.5,50.34,Medium,2025-05-16 16:07:00,Lunch Time
108,Main Library,Cultural Hall,1,23.62,49.29,Medium,2025-05-16 8:58:00,Orientation
109,Student Lounge,Main Gate,2,62.33,58.59,High,2025-05-16 13:44:00,Orientation
110,Student Lounge,Main Gate,0,13.09,19.13,High,2025-05-16 14:20:00,Orientation
111,Lecture Hall A,Main Gate,3,26.58,28.45,Low,2025-05-16 8:32:00,Orientation
112,Medical Center,Engineering Block,3,6.39,36.12,Medium,2025-05-16 9:53:00,
113,Gymnasium,Academic Block B,0,76.96,89.19,Medium,2025-05-16 15:50:00,Lunch Time
114,Cafeteria,Student Center,2,3.44,59.34,Low,2025-05-16 17:29:00,Class Break
115,Main Library,Cultural Hall,2,1.15,28.29,High,2025-05-16 15:25:00,Orientation
116,Medical Center,Academic Block A,1,24.49,55.61,Medium,2025-05-16 14:22:00,Seminar
117,Garden Area,Cultural Hall,3,67.17,34.67,Medium,2025-05-16 10:12:00,Class Break
118,Lecture Hall A,Academic Block A,1,27.1,60.08,High,2025-05-16 16:31:00,
119,Computer Lab,Main Gate,0,83.14,44.55,Medium,2025-05-16 12:43:00,Seminar
120,Medical Center,Academic Block B,0,63.94,26.77,Medium,2025-05-16 14:56:00,Seminar
121,Lecture Hall A,Academic Block A,2,40.78,10.17,Low,2025-05-16 15:31:00,
122,Lecture Hall B,Academic Block B,2,90.25,14.65,Low,2025-05-16 11:31:00,Sports Event
123,Medical Center,Cultural Hall,2,26.32,43.56,Medium,2025-05-16 13:53:00,
124,Lecture Hall B,Academic Block B,3,0.11,82.62,High,2025-05-16 9:02:00,
125,Auditorium,Main Gate,3,10.14,78.43,Low,2025-05-16 14:16:00,Class Break
126,Admin Office,Cultural Hall,3,75.67,5.22,Low,2025-05-16 9:22:00,Orientation
127,Cafeteria,Academic Block A,2,0.85,40.74,Medium,2025-05-16 9:25:00,Orientation
128,Cafeteria,Student Center,0,1.6,46.55,Medium,2025-05-16 9:12:00,Orientation
129,Computer Lab,Engineering Block,0,32.06,15.48,High,2025-05-16 15:23:00,
130,Lecture Hall B,Engineering Block,2,16.3,71.53,High,2025-05-16 13:40:00,Sports Event
131,Gymnasium,Engineering Block,3,31.88,80.23,High,2025-05-16 9:57:00,Lunch Time
132,Lecture Hall A,Main Gate,0,48.54,13.04,Medium,2025-05-16 14:18:00,
133,Garden Area,Academic Block A,1,97.03,82.27,Low,2025-05-16 18:00:00,Sports Event
134,Garden Area,Academic Block A,2,24.54,21.85,High,2025-05-16 14:48:00,Orientation
135,Lecture Hall B,Main Gate,2,22.07,47.21,Low,2025-05-16 16:05:00,Sports Event
136,Lecture Hall B,Student Center,1,62.3,18.17,Medium,2025-05-16 11:47:00,Class Break
137,Auditorium,Main Gate,1,41.8,94.62,Medium,2025-05-16 11:09:00,Sports Event
138,Parking Area,Main Gate,3,10.59,2.85,Medium,2025-05-16 11:55:00,Orientation
139,Auditorium,Cultural Hall,2,68.45,87.4,High,2025-05-16 15:04:00,
140,Computer Lab,Academic Block B,1,57.14,58.11,High,2025-05-16 8:34:00,Orientation
141,Student Lounge,Academic Block A,2,8.17,26.57,Low,2025-05-16 9:35:00,
142,Student Lounge,Main Gate,1,43.84,19.99,High,2025-05-16 13:35:00,
143,Admin Office,Cultural Hall,0,38.74,84.67,High,2025-05-16 9:27:00,Sports Event
144,Garden Area,Academic Block A,0,32.99,21.74,Low,2025-05-16 14:34:00,
145,Student Lounge,Main Gate,2,23.54,86.94,Medium,2025-05-16 10:50:00,Orientation
146,Garden Area,Student Center,1,85.3,62.6,High,2025-05-16 17:36:00,Orientation
147,Gymnasium,Cultural Hall,3,22.85,47.61,Low,2025-05-16 9:25:00,Class Break
148,Medical Center,Cultural Hall,1,96.3,2.59,Medium,2025-05-16 17:56:00,Sports Event
149,Student Lounge,Cultural Hall,1,79.42,10.55,High,2025-05-16 17:55:00,Orientation
150,Computer Lab,Academic Block A,2,74.81,82.07,Low,2025-05-16 15:34:00,Sports Event
151,Lecture Hall B,Main Gate,0,13.71,61.91,Medium,2025-05-16 16:07:00,
152,Gymnasium,Main Gate,0,6.34,38.14,Medium,2025-05-16 17:57:00,Sports Event
153,Gymnasium,Cultural Hall,0,26.72,89.69,High,2025-05-16 17:24:00,Lunch Time
154,Medical Center,Student Center,3,94,84.46,Low,2025-05-16 10:05:00,
155,Cafeteria,Student Center,2,20.67,27.01,High,2025-05-16 11:55:00,Orientation
156,Admin Office,Student Center,1,40.56,80.94,High,2025-05-16 17:11:00,Sports Event
157,Lecture Hall B,Cultural Hall,2,79.02,16.34,Medium,2025-05-16 16:32:00,Class Break
158,Admin Office,Student Center,3,12.42,41.08,High,2025-05-16 10:40:00,
159,Parking Area,Student Center,2,23.93,80.3,Medium,2025-05-16 9:47:00,Sports Event
160,Garden Area,Main Gate,1,96.19,39.67,Low,2025-05-16 11:13:00,
161,Medical Center,Academic Block B,0,38.87,45.46,Low,2025-05-16 17:36:00,
162,Lecture Hall B,Engineering Block,2,95.31,40.26,Low,2025-05-16 12:28:00,Lunch Time
163,Medical Center,Academic Block A,3,32.69,95.17,Medium,2025-05-16 10:40:00,
164,Admin Office,Cultural Hall,3,15.08,14.09,Medium,2025-05-16 14:41:00,Orientation
165,Lecture Hall B,Engineering Block,3,98.99,31.86,Medium,2025-05-16 8:30:00,
166,Lecture Hall A,Academic Block A,0,6.89,49.04,Medium,2025-05-16 13:05:00,Lunch Time
167,Cafeteria,Engineering Block,0,19.16,4.61,Low,2025-05-16 12:53:00,Class Break
168,Parking Area,Main Gate,0,23.97,36.04,Low,2025-05-16 10:18:00,Seminar
169,Admin Office,Student Center,2,5.95,0.39,High,2025-05-16 9:36:00,Sports Event
170,Medical Center,Academic Block A,1,10.78,83.26,Low,2025-05-16 10:18:00,
171,Computer Lab,Academic Block B,2,32.01,83.99,High,2025-05-16 9:49:00,Orientation
172,Lecture Hall A,Academic Block A,3,81.14,49.76,Low,2025-05-16 11:01:00,Sports Event
173,Garden Area,Engineering Block,3,34.09,73.62,Low,2025-05-16 10:25:00,Orientation
174,Lecture Hall A,Main Gate,0,98.08,30.26,Medium,2025-05-16 14:21:00,
175,Medical Center,Cultural Hall,1,6.48,54.52,Medium,2025-05-16 11:28:00,Orientation
176,Admin Office,Engineering Block,2,71.6,22.26,Medium,2025-05-16 11:01:00,Lunch Time
177,Lecture Hall B,Main Gate,2,72.31,64.46,High,2025-05-16 17:25:00,Seminar
178,Main Library,Engineering Block,3,85.05,4.81,Low,2025-05-16 17:25:00,Orientation
179,Student Lounge,Academic Block B,3,66.61,64.73,Medium,2025-05-16 17:15:00,
180,Main Library,Academic Block B,0,31.15,78.4,Low,2025-05-16 10:54:00,
181,Cafeteria,Cultural Hall,1,24.83,39.97,High,2025-05-16 8:27:00,
182,Admin Office,Academic Block B,1,65.95,15.51,Low,2025-05-16 12:51:00,Orientation
183,Student Lounge,Academic Block A,0,85.04,53.52,Medium,2025-05-16 17:51:00,
184,Computer Lab,Academic Block B,0,76.01,10.41,Medium,2025-05-16 14:15:00,Orientation
185,Medical Center,Cultural Hall,1,66.83,44.76,High,2025-05-16 17:03:00,Sports Event
186,Auditorium,Academic Block A,1,73.05,3.52,Medium,2025-05-16 11:08:00,Class Break
187,Garden Area,Cultural Hall,0,63.95,91.78,Low,2025-05-16 10:16:00,Orientation
188,Computer Lab,Student Center,3,31.61,99.52,Low,2025-05-16 10:20:00,Orientation
189,Gymnasium,Academic Block A,3,93.38,58.27,Medium,2025-05-16 17:10:00,Seminar
190,Student Lounge,Engineering Block,1,53.13,17.66,Low,2025-05-16 8:36:00,
191,Garden Area,Engineering Block,2,93.67,84.1,High,2025-05-16 9:36:00,Orientation
192,Medical Center,Cultural Hall,3,68.4,71.61,Medium,2025-05-16 13:45:00,Lunch Time
193,Lecture Hall B,Main Gate,0,12.94,44.14,Medium,2025-05-16 14:11:00,Lunch Time
194,Lecture Hall A,Engineering Block,1,93.28,15.8,High,2025-05-16 16:55:00,
195,Student Lounge,Academic Block B,3,22.89,93.09,Low,2025-05-16 14:20:00,Lunch Time
196,Admin Office,Cultural Hall,2,87.31,94.52,High,2025-05-16 16:54:00,Seminar
197,Gymnasium,Engineering Block,0,82.88,98.42,Medium,2025-05-16 11:15:00,Lunch Time
198,Gymnasium,Engineering Block,0,79.21,42.54,High,2025-05-16 10:04:00,
199,Cafeteria,Cultural Hall,0,16.55,76.27,Low,2025-05-16 14:25:00,Orientation
200,Admin Office,Academic Block A,0,11.2,15.53,Low,2025-05-16 12:31:00,Orientation
201,Medical Center,Student Center,0,70.38,59.36,Medium,2025-05-16 14:35:00,
202,Garden Area,Academic Block B,3,67.22,25.74,High,2025-05-16 11:20:00,Seminar
203,Admin Office,Main Gate,0,88.86,35.57,Medium,2025-05-16 14:02:00,Lunch Time
204,Garden Area,Engineering Block,2,47.66,24.79,High,2025-05-16 12:30:00,Seminar
205,Student Lounge,Academic Block B,1,89.63,7.78,High,2025-05-16 17:57:00,
206,Lecture Hall B,Engineering Block,3,83.84,42.2,Low,2025-05-16 13:07:00,Class Break
207,Garden Area,Academic Block B,2,80.67,64.59,High,2025-05-16 11:44:00,Sports Event
208,Cafeteria,Academic Block B,1,94.46,34.94,High,2025-05-16 16:50:00,
209,Main Library,Main Gate,3,35.71,20.61,High,2025-05-16 9:25:00,Orientation
210,Lecture Hall B,Cultural Hall,2,81.05,91.52,Medium,2025-05-16 13:48:00,
211,Lecture Hall A,Student Center,3,98.8,44.96,High,2025-05-16 16:09:00,Orientation
212,Gymnasium,Academic Block A,3,5.01,19.7,Medium,2025-05-16 17:51:00,Orientation
213,Medical Center,Main Gate,0,36.36,85.46,Medium,2025-05-16 17:47:00,Seminar
214,Garden Area,Cultural Hall,0,41.14,43.14,Low,2025-05-16 8:17:00,Orientation
215,Computer Lab,Cultural Hall,1,36.07,72.69,High,2025-05-16 11:12:00,Sports Event
216,Lecture Hall B,Engineering Block,0,21.28,4.83,High,2025-05-16 10:12:00,Orientation
217,Admin Office,Academic Block B,3,50.13,89.82,Medium,2025-05-16 11:10:00,Seminar
218,Garden Area,Student Center,2,24.32,99.45,Low,2025-05-16 13:35:00,Sports Event
219,Lecture Hall A,Academic Block B,2,64.92,4.72,High,2025-05-16 13:01:00,Class Break
220,Gymnasium,Main Gate,0,70.94,60.79,Low,2025-05-16 13:39:00,
221,Cafeteria,Engineering Block,2,92.74,39.14,Medium,2025-05-16 12:14:00,Sports Event
222,Student Lounge,Student Center,1,68.83,49.27,Low,2025-05-16 12:00:00,
223,Admin Office,Main Gate,2,72.29,90.89,High,2025-05-16 12:41:00,
224,Auditorium,Academic Block B,0,20.17,1.48,Medium,2025-05-16 8:34:00,Orientation
225,Gymnasium,Academic Block A,1,94.6,77.88,Medium,2025-05-16 16:53:00,Sports Event
226,Lecture Hall A,Academic Block B,2,44.39,9.95,High,2025-05-16 14:23:00,Sports Event
227,Computer Lab,Main Gate,3,12.04,37.37,High,2025-05-16 12:38:00,Orientation
228,Main Library,Engineering Block,2,97.31,38.92,Low,2025-05-16 10:19:00,Sports Event
229,Parking Area,Cultural Hall,0,80.54,42.49,High,2025-05-16 16:13:00,
230,Auditorium,Engineering Block,2,16,9.23,High,2025-05-16 9:21:00,Seminar
231,Cafeteria,Academic Block B,3,74.39,15.75,Low,2025-05-16 12:36:00,Orientation
232,Auditorium,Main Gate,2,60.81,49.88,High,2025-05-16 13:48:00,Lunch Time
233,Medical Center,Cultural Hall,0,64.37,78.4,Low,2025-05-16 15:51:00,Sports Event
234,Student Lounge,Cultural Hall,3,9.74,99.94,High,2025-05-16 15:40:00,Lunch Time
235,Lecture Hall B,Student Center,0,62.35,35.09,Medium,2025-05-16 17:00:00,Class Break
236,Main Library,Student Center,3,96.87,63.79,High,2025-05-16 14:55:00,Class Break
237,Computer Lab,Main Gate,0,45.71,84.2,Low,2025-05-16 12:34:00,
238,Computer Lab,Cultural Hall,3,63.3,28.97,High,2025-05-16 14:45:00,Sports Event
239,Garden Area,Student Center,3,5.89,91.46,Low,2025-05-16 13:01:00,Class Break
240,Medical Center,Main Gate,1,70.24,10.16,Low,2025-05-16 8:11:00,
241,Student Lounge,Engineering Block,3,24.06,21.47,Low,2025-05-16 10:09:00,Orientation
242,Parking Area,Cultural Hall,1,81.78,19.86,Medium,2025-05-16 8:37:00,Sports Event
243,Garden Area,Main Gate,3,57.87,25.93,Low,2025-05-16 8:22:00,Class Break
244,Lecture Hall B,Main Gate,0,98.66,72.21,Low,2025-05-16 14:48:00,Seminar
245,Cafeteria,Student Center,0,54.07,27.75,High,2025-05-16 9:13:00,Seminar
246,Lecture Hall B,Engineering Block,0,40.74,48.98,Medium,2025-05-16 16:15:00,
247,Computer Lab,Student Center,3,72.67,3.61,Medium,2025-05-16 13:40:00,Class Break
248,Auditorium,Main Gate,3,43.62,62.93,Low,2025-05-16 8:38:00,Lunch Time
249,Lecture Hall A,Academic Block B,1,9.32,21.91,Low,2025-05-16 17:17:00,Seminar
250,Medical Center,Academic Block A,3,79.55,1.25,Medium,2025-05-16 17:31:00,
251,Computer Lab,Main Gate,1,24.41,6.55,High,2025-05-16 13:15:00,
252,Gymnasium,Student Center,3,67.32,6.04,Medium,2025-05-16 10:41:00,
253,Admin Office,Cultural Hall,3,69.18,73.47,Low,2025-05-16 16:40:00,
254,Cafeteria,Student Center,2,10.88,68.47,High,2025-05-16 14:28:00,Lunch Time
255,Auditorium,Cultural Hall,0,96.95,20.02,Medium,2025-05-16 8:54:00,Lunch Time
256,Lecture Hall A,Engineering Block,3,91.81,5.25,High,2025-05-16 11:16:00,Seminar
257,Student Lounge,Cultural Hall,2,10.35,33.72,Low,2025-05-16 17:24:00,Seminar
258,Cafeteria,Academic Block B,0,4.88,46.21,Low,2025-05-16 15:29:00,Sports Event
259,Gymnasium,Main Gate,3,15.05,98.68,Medium,2025-05-16 13:12:00,Lunch Time
260,Cafeteria,Academic Block B,1,65.19,13.17,High,2025-05-16 11:46:00,Seminar
261,Main Library,Student Center,0,67.65,41.62,High,2025-05-16 9:17:00,
262,Garden Area,Cultural Hall,3,63.94,51.53,High,2025-05-16 16:40:00,Sports Event
263,Gymnasium,Student Center,2,31.81,69.54,High,2025-05-16 11:41:00,
264,Cafeteria,Academic Block B,3,40.79,60.63,High,2025-05-16 16:38:00,
265,Lecture Hall B,Academic Block A,0,75.82,43.36,High,2025-05-16 9:18:00,
266,Main Library,Main Gate,0,90.94,97.04,Medium,2025-05-16 12:12:00,Orientation
267,Student Lounge,Student Center,2,84.17,85.83,Low,2025-05-16 17:37:00,Lunch Time
268,Parking Area,Academic Block A,1,97.55,86.67,Low,2025-05-16 9:18:00,Orientation
269,Computer Lab,Academic Block A,1,47.73,37.91,Low,2025-05-16 8:51:00,Class Break
270,Lecture Hall A,Academic Block A,3,95.35,46.9,Low,2025-05-16 16:24:00,Seminar
271,Garden Area,Academic Block B,1,24.32,12.53,Low,2025-05-16 13:51:00,Sports Event
272,Student Lounge,Academic Block B,2,11.06,60.16,Low,2025-05-16 8:11:00,
273,Student Lounge,Academic Block A,0,23.95,18.43,Medium,2025-05-16 15:12:00,
274,Lecture Hall A,Academic Block B,3,78.03,37,High,2025-05-16 15:00:00,Sports Event
275,Lecture Hall B,Main Gate,1,31.51,92.89,Medium,2025-05-16 16:47:00,Lunch Time
276,Auditorium,Academic Block A,2,43.82,13.33,High,2025-05-16 13:36:00,Orientation
277,Admin Office,Main Gate,0,50.92,9.89,Low,2025-05-16 15:11:00,Seminar
278,Parking Area,Cultural Hall,1,81.8,64.97,High,2025-05-16 15:59:00,
279,Parking Area,Main Gate,0,18.35,36.32,High,2025-05-16 12:30:00,Orientation
280,Medical Center,Main Gate,2,68.28,51.68,High,2025-05-16 15:44:00,Seminar
281,Main Library,Student Center,0,18.8,59.34,Medium,2025-05-16 10:43:00,Sports Event
282,Cafeteria,Academic Block B,1,5.82,19.4,Low,2025-05-16 10:01:00,Sports Event
283,Cafeteria,Cultural Hall,3,51.48,49.29,Medium,2025-05-16 14:05:00,Class Break
284,Cafeteria,Academic Block B,0,94.45,58.57,Medium,2025-05-16 15:00:00,Lunch Time
285,Admin Office,Student Center,2,36.82,53.9,Low,2025-05-16 13:59:00,
286,Auditorium,Student Center,0,7.97,57.43,Medium,2025-05-16 10:56:00,Class Break
287,Gymnasium,Cultural Hall,1,81.07,66.1,Low,2025-05-16 9:42:00,
288,Main Library,Cultural Hall,2,24.43,73.56,Medium,2025-05-16 13:15:00,Orientation
289,Cafeteria,Engineering Block,3,99.51,77.59,Low,2025-05-16 9:04:00,Class Break
290,Parking Area,Main Gate,1,62.41,56.9,High,2025-05-16 14:06:00,Orientation
291,Medical Center,Student Center,2,99.46,29.09,Medium,2025-05-16 12:38:00,Sports Event
292,Parking Area,Main Gate,3,93.68,3.19,Medium,2025-05-16 15:14:00,Lunch Time
293,Cafeteria,Student Center,2,66.55,1.06,High,2025-05-16 15:33:00,Class Break
294,Garden Area,Academic Block B,1,50.01,37.32,Medium,2025-05-16 12:02:00,Sports Event
295,Parking Area,Engineering Block,0,88.93,67.71,Medium,2025-05-16 9:16:00,Orientation
296,Main Library,Cultural Hall,0,29.05,12.52,Low,2025-05-16 16:38:00,Orientation
297,Admin Office,Engineering Block,1,47.31,70.65,Low,2025-05-16 13:23:00,
298,Main Library,Academic Block B,1,49.78,41.86,Low,2025-05-16 11:48:00,Lunch Time
299,Medical Center,Main Gate,3,31.56,43.69,Low,2025-05-16 17:46:00,Class Break
300,Lecture Hall A,Cultural Hall,1,4.37,91.4,High,2025-05-16 13:17:00,
301,Main Library,Main Gate,1,15,7.71,Low,2025-05-16 16:44:00,Lunch Time
302,Computer Lab,Student Center,2,46.8,66.16,High,2025-05-16 17:25:00,Seminar
303,Student Lounge,Main Gate,0,46.67,63.8,Low,2025-05-16 15:30:00,
304,Gymnasium,Engineering Block,0,35.47,47.73,Low,2025-05-16 11:33:00,Class Break
